"Descrição","Acurácia","F1-Score","Recall","Precisão","MCC"
"banana.dat , MLP , Normalizado , Split # 0",0.6279245283018868,0.2356673782994585,0.6072502012675496,0.6107311141510867,0.6253918413544541
"banana.dat , MlP , Padronizado , Split # 0",0.88,0.7604357266337621,0.8793667462776474,0.8819372475323227,0.8785062193312791
"banana.dat , MLP , Normalizado , Split # 0",0.6415094339622641,0.2689683588464241,0.6328053119907772,0.6323506381645916,0.6366521141563586
"banana.dat , MlP , Padronizado , Split # 0",0.8950943396226415,0.7876943334190131,0.8938049678575155,0.8932507933875923,0.8944444444444444
"banana.dat , MLP , Normalizado , Split # 0",0.6452830188679245,0.27301467729846074,0.6259813672355473,0.6285138203742855,0.6449980511887748
"banana.dat , MlP , Padronizado , Split # 0",0.8935849056603774,0.7848732237582163,0.8917175597516793,0.8895164596258986,0.8953786561190904
"banana.dat , MLP , Normalizado , Split # 0",0.630188679245283,0.24274899570936354,0.6168748554244738,0.6175157871464301,0.6253599119505509
"banana.dat , MlP , Padronizado , Split # 0",0.8883018867924528,0.7749297120684462,0.8859316031699498,0.8828354221651076,0.8921502712903987
"banana.dat , MLP , Normalizado , Split # 0",0.6422641509433962,0.26717753500994884,0.6155950702156414,0.6216761781057267,0.6466676475323825
"banana.dat , MlP , Padronizado , Split # 0",0.900377358490566,0.7996368389778217,0.8982633217461713,0.8950413851234644,0.90465322009908
"banana.dat , MLP , Normalizado , Split # 0",0.6445283018867924,0.2723236089030088,0.6175357184224509,0.623728161689858,0.6498449240518334
"banana.dat , MlP , Padronizado , Split # 0",0.7683018867924528,0.5313450561188479,0.759748984865264,0.756884854012077,0.7747608162300106
"banana.dat , MLP , Normalizado , Split # 0",0.5773584905660377,0.13707341393835606,0.5669934640522876,0.5674275817914669,0.5696640762930849
"banana.dat , MlP , Padronizado , Split # 0",0.8460377358490566,0.6886255887776805,0.8426292501164416,0.839799039183444,0.8488865085220286
"banana.dat , MLP , Normalizado , Split # 0",0.6430188679245283,0.27347770214217915,0.6358428591267201,0.6352961903577499,0.638196894848271
"banana.dat , MlP , Padronizado , Split # 0",0.8633962264150944,0.7233003910081918,0.8611642577490694,0.8594748211711276,0.8638387341901979
"banana.dat , MLP , Normalizado , Split # 0",0.6188679245283019,0.21891313418564778,0.6047988187523071,0.6058360624024098,0.6132009242198815
"banana.dat , MlP , Padronizado , Split # 0",0.8845283018867924,0.7661810349089994,0.8828626750126107,0.8816240379167876,0.8845626322824998
"banana.dat , MLP , Normalizado , Split # 0",0.630943396226415,0.24604578617963493,0.6204806044897422,0.6204083700663727,0.625694187338023
"banana.dat , MlP , Padronizado , Split # 0",0.8837735849056604,0.7647270680482443,0.8818974658165368,0.8801512618202085,0.8845886804410024
"banana.dat , MLP , Normalizado , Split # 0",0.6150943396226415,0.20854116848000967,0.5953049989938771,0.5986299382332214,0.6102338187827215
"banana.dat , MlP , Padronizado , Split # 0",0.8935849056603774,0.7846382150278088,0.892276981783523,0.8917250480177976,0.8929140679140679
